COD_MUNICIPIO;MUNICIPIO;UG;;
06102;Puebla de Alcocer;06102;;
06103;Puebla de la Calzada;06103;;
06104;Puebla de la Reina;06104;;
06105;Puebla del Maestre;06105;;
06106;Puebla del Prior;06106;;
06107;Puebla de Obando;06107;;
06108;Puebla de Sancho Pérez;06108;;
06109;Quintana de la Serena;06109;;
06110;Reina;06110;;
06111;Rena;06111;;
06112;Retamal de Llerena;06112;;
06113;Ribera del Fresno;06113;;
06114;Risco;06114;;
06115;Roca de la Sierra, La;06115;;
06116;Salvaleón;06116;;
06117;Salvatierra de los Barros;06117;;
06118;Sancti-Spíritus;06118;;
06119;San Pedro de Mérida;06119;;
06120;Santa Amalia;06120;;
06121;Santa Marta;06121;;
06122;Santos de Maimona, Los;06122;;
06123;San Vicente de Alcántara;06123;;
06124;Segura de León;06124;;
06125;Siruela;06125;;
06126;Solana de los Barros;06126;;
06127;Talarrubias;06127;;
06128;Talavera la Real;06128;;
06129;Táliga;06129;;
06130;Tamurejo;06130;;
06131;Torre de Miguel Sesmero;06131;;
06132;Torremayor;06132;;
06133;Torremejía;06133;;
06134;Trasierra;06134;;
06135;Trujillanos;06135;;
06136;Usagre;06136;;
06137;Valdecaballeros;06137;;
06138;Valdetorres;06138;;
06139;Valencia de las Torres;06139;;
06140;Valencia del Mombuey;06140;;
06141;Valencia del Ventoso;06141;;
06142;Valverde de Burguillos;06142;;
06143;Valverde de Leganés;06143;;
06144;Valverde de Llerena;06144;;
06145;Valverde de Mérida;06145;;
06146;Valle de la Serena;06146;;
06147;Valle de Matamoros;06147;;
06148;Valle de Santa Ana;06148;;
06149;Villafranca de los Barros;06149;;
06150;Villagarcía de la Torre;06150;;
06151;Villagonzalo;06151;;
06152;Villalba de los Barros;06152;;
06153;Villanueva de la Serena;06153;;
06154;Villanueva del Fresno;06154;;
06155;Villar del Rey;06155;;
06156;Villar de Rena;06156;;
06157;Villarta de los Montes;06157;;
06158;Zafra;06158;;
06159;Zahínos;06159;;
06160;Zalamea de la Serena;06160;;
06161;Zarza-Capilla;06161;;
06162;Zarza, La;06162;;
06901;Valdelacalzada;06901;;
06902;Pueblonuevo del Guadiana;06902;;
06903;Guadiana;06903;;
07001;Alaró;07001;99418;
07002;Alaior;07002;99050;
07003;Alcúdia;07003;99418;99421
07004;Algaida;07004;99418;99050
07005;Andratx;07005;99418;99421
07006;Artà;07006;99418;99421
07007;Banyalbufar;07007;99421;
07008;Binissalem;07008;99418;99421
07009;Búger;07009;99418;99050
07010;Bunyola;07010;99418;99421
07011;Calvià;07011;99418;99049
07012;Campanet;07012;99418;99421
07013;Campos;07013;99418;99050
07014;Capdepera;07014;99418;99050
07015;Ciutadella de Menorca;07015;99050;
07016;Consell;07016;99418;99421
07017;Costitx;07017;99418;99049
07018;Deyá;07018;99421;
07019;Escorca;07019;99421;
07020;Esporles;07020;99421;
07021;Estellencs;07021;99421;
07022;Felanitx;07022;99418;99421
07023;Ferreries;07023;99050;
07024;Formentera;07024;99416;99050
07025;Fornalutx;07025;99421;
07026;Eivissa;07026;99049;
07027;Inca;07027;99418;
07028;Lloret de Vistalegre;07028;99418;
07029;Lloseta;07029;99418;
07030;Llubí;07030;99418;
07031;Llucmajor;07031;99421;
07032;Maó;07032;99050;
07033;Manacor;07033;99418;
07034;Mancor de la Vall;07034;99418;
07035;Maria de la Salut;07035;99418;
07036;Marratxí;07036;99418;
07037;Mercadal, Es;07037;99050;
07038;Montuïri;07038;99418;
07039;Muro;07039;99418;
07040;Palma de Mallorca;07040;99051;
07041;Petra;07041;99418;
07042;Pollença;07042;99418;
07043;Porreres;07043;99418;
07044;Pobla, Sa;07044;99418;
07045;Puigpunyent;07045;99421;
07046;Sant Antoni de Portmany;07046;99049;
07047;Sencelles;07047;99418;
07048;Sant Josep de sa Talaia;07048;99049;
07049;Sant Joan;07049;99418;
07050;Sant Joan de Labritja;07050;99049;
07051;Sant Llorenç des Cardassar;07051;99418;
07052;Sant Lluís;07052;99050;
07053;Santa Eugènia;07053;99418;
07054;Santa Eulalia del Río;07054;99049;
07055;Santa Margalida;07055;99418;
07056;Santa María del Camí;07056;99418;
07057;Santanyí;07057;99418;
07058;Selva;07058;99418;
07059;Salines, Ses;07059;99418;
07060;Sineu;07060;99418;
07061;Sóller;07061;99421;
07062;Son Servera;07062;99418;
07063;Valldemossa;07063;99421;
07064;Castell, Es;07064;99050;
07065;Vilafranca de Bonany;07065;99418;
07901;Ariany;07901;99418;
07902;Migjorn Gran, Es;07902;99050;
08001;Abrera;99417;;
