MUNICIPIO;COD_PROVINCIA;COD_MUNICIPIO;COD_CCAA;NUM_CONTENEDORES; HABITANTES ;
Camprodon;17;17039;8;35; 2.298 ;
Canet d`Adri;17;17040;8;12; 729 ;
Cantallops;17;17041;8;9; 309 ;
Capmany;17;17042;8;11; 611 ;
Queralbs;17;17043;8;11; 188 ;
Cassà de la Selva;17;17044;8;65; 10.410 ;
Castellfollit de la Roca;17;17046;8;8; 947 ;
Castelló d`Empúries;17;17047;8;126; 11.100 ;
Castell-Platja d`Aro;17;17048;8;85; 11.030 ;
Celrà;17;17049;8;31; 5.561 ;
Cervià de Ter;17;17050;8;11; 966 ;
Cistella;17;17051;8;4; 282 ;
Siurana;17;17052;8;7; 171 ;
Colera;17;17054;8;11; 445 ;
Colomers;17;17055;8;9; 174 ;
Cornellà del Terri;17;17056;8;30; 2.399 ;
Corçà;17;17057;8;13; 1.268 ;
Crespià;17;17058;8;2; 254 ;
Darnius;17;17060;8;5; 537 ;
Das;17;17061;8;5; 234 ;
Escala, L`;17;17062;8;139; 10.244 ;
Espinelves;17;17063;8;3; 221 ;
Espolla;17;17064;8;7; 412 ;
Esponellà;17;17065;8;7; 463 ;
Figueres;17;17066;8;193; 47.235 ;
Flaçà;17;17067;8;11; 1.130 ;
Foixà;17;17068;8;8; 303 ;
Fontanals de Cerdanya;17;17069;8;15; 437 ;
Fontanilles;17;17070;8;4; 146 ;
Fontcoberta;17;17071;8;17; 1.469 ;
Fornells de la Selva;17;17073;8;31; 2.670 ;
Fortià;17;17074;8;8; 787 ;
Garrigàs;17;17075;8;8; 451 ;
Garrigoles;17;17076;8;2; 167 ;
Garriguella;17;17077;8;12; 853 ;
Ger;17;17078;8;6; 449 ;
Girona;17;17079;8;371; 103.369 ;
Gombrèn;17;17080;8;5; 192 ;
Gualta;17;17081;8;14; 402 ;
Guils de Cerdanya;17;17082;8;12; 549 ;
Hostalric;17;17083;8;78; 4.291 ;
Isòvol;17;17084;8;9; 281 ;
Jafre;17;17085;8;3; 387 ;
Jonquera, La;17;17086;8;41; 3.320 ;
Juià;17;17087;8;5; 319 ;
Lladó;17;17088;8;9; 844 ;
Llagostera;17;17089;8;43; 8.647 ;
Llambilles;17;17090;8;7; 713 ;
Llanars;17;17091;8;6; 535 ;
Llançà;17;17092;8;77; 4.775 ;
Llers;17;17093;8;17; 1.237 ;
Llívia;17;17094;8;18; 1.431 ;
Lloret de Mar;17;17095;8;169; 39.089 ;
Llosses, Les;17;17096;8;5; 212 ;
Madremanya;17;17097;8;3; 288 ;
Maià de Montcal;17;17098;8;13; 463 ;
Meranges;17;17099;8;4; 100 ;
Masarac;17;17100;8;4; 288 ;
Massanes;17;17101;8;11; 796 ;
Maçanet de Cabrenys;17;17102;8;15; 698 ;
Maçanet de la Selva;17;17103;8;34; 7.066 ;
Mieres;17;17105;8;3; 345 ;
Mollet de Peralada;17;17106;8;4; 198 ;
Molló;17;17107;8;5; 336 ;
Montagut i Oix;17;17109;8;18; 930 ;
Mont-ras;17;17110;8;22; 1.680 ;
Navata;17;17111;8;24; 1.427 ;
Ogassa;17;17112;8;6; 240 ;
Olot;17;17114;8;162; 35.926 ;
Ordis;17;17115;8;5; 361 ;
Osor;17;17116;8;9; 428 ;
Palafrugell;17;17117;8;312; 23.244 ;
Palamós;17;17118;8;91; 18.135 ;
Palau de Santa Eulàlia;17;17119;8;2; 90 ;
Palau-saverdera;17;17120;8;19; 1.456 ;
Palau-sator;17;17121;8;12; 310 ;
Palol de Revardit;17;17123;8;7; 448 ;
Pals;17;17124;8;79; 2.395 ;
Pardines;17;17125;8;5; 169 ;
Parlavà;17;17126;8;10; 391 ;
Pau;17;17128;8;5; 557 ;
Pedret i Marzà;17;17129;8;3; 191 ;
Pera, La;17;17130;8;9; 435 ;
Peralada;17;17132;8;22; 1.898 ;
Planes d`Hostoles, Les;17;17133;8;15; 1.712 ;
Planoles;17;17134;8;13; 304 ;
Pont de Molins;17;17135;8;10; 516 ;
Pontós;17;17136;8;3; 260 ;
Porqueres;17;17137;8;34; 4.677 ;
Portbou;17;17138;8;16; 1.063 ;
Preses, Les;17;17139;8;22; 1.855 ;
Port de la Selva, El;17;17140;8;24; 958 ;
Puigcerdà;17;17141;8;74; 9.486 ;
Quart;17;17142;8;34; 3.798 ;
Rabós;17;17143;8;2; 184 ;
Regencós;17;17144;8;5; 276 ;
Ribes de Freser;17;17145;8;27; 1.760 ;
Riells i Viabrea;17;17146;8;23; 4.153 ;
Ripoll;17;17147;8;90; 10.803 ;
Riudarenes;17;17148;8;0; 2.204 ;
Riudaura;17;17149;8;6; 481 ;
Riudellots de la Selva;17;17150;8;15; 2.071 ;
Riumors;17;17151;8;5; 246 ;
Roses;17;17152;8;138; 19.807 ;
Rupià;17;17153;8;4; 273 ;
Sales de Llierca;17;17154;8;3; 159 ;
Salt;17;17155;8;100; 32.138 ;
Sant Andreu Salou;17;17157;8;1; 160 ;
Sant Climent Sescebes;17;17158;8;9; 707 ;
Sant Feliu de Buixalleu;17;17159;8;18; 797 ;
Sant Feliu de Guíxols;17;17160;8;72; 22.097 ;
Sant Feliu de Pallerols;17;17161;8;18; 1.437 ;
Sant Ferriol;17;17162;8;6; 236 ;
Sant Gregori;17;17163;8;34; 3.928 ;
Sant Hilari Sacalm;17;17164;8;34; 5.703 ;
Sant Jaume de Llierca;17;17165;8;8; 871 ;
Sant Jordi Desvalls;17;17166;8;10; 760 ;
Sant Joan de les Abadesses;17;17167;8;33; 3.224 ;
Sant Joan de Mollet;17;17168;8;3; 498 ;
Sant Julià de Ramis;17;17169;8;32; 3.576 ;
Vallfogona de Ripollès;17;17170;8;4; 196 ;
Sant Llorenç de la Muga;17;17171;8;4; 265 ;
Sant Martí de Llémena;17;17172;8;6; 641 ;
Sant Martí Vell;17;17173;8;1; 251 ;
Sant Miquel de Campmajor;17;17174;8;5; 229 ;
Sant Miquel de Fluvià;17;17175;8;8; 761 ;
Sant Mori;17;17176;8;2; 166 ;
Sant Pau de Segúries;17;17177;8;10; 688 ;
Sant Pere Pescador;17;17178;8;78; 2.090 ;
Santa Coloma de Farners;17;17180;8;117; 13.363 ;
Santa Cristina d`Aro;17;17181;8;203; 5.287 ;
Santa Llogaia d`Àlguema;17;17182;8;3; 368 ;
Sant Aniol de Finestres;17;17183;8;6; 345 ;
Santa Pau;17;17184;8;20; 1.614 ;
Sant Joan les Fonts;17;17185;8;23; 3.044 ;
Sarrià de Ter;17;17186;8;29; 5.229 ;
Saus, Camallera i Llampaies;17;17187;8;15; 856 ;
Selva de Mar, La;17;17188;8;2; 195 ;
